Ngay,Index,Return
28/05/2014,557.34,0.00827
29/05/2014,558.45,0.00199
30/05/2014,562.02,0.006372
2/06/2014,556.8,-0.009331
3/06/2014,558.76,0.003514
4/06/2014,553.46,-0.009531
5/06/2014,551.1,-0.004273
6/06/2014,559.04,0.014305
9/06/2014,565.61,0.011684
10/06/2014,566.89,0.00226
11/06/2014,570.36,0.006102
12/06/2014,573.77,0.005961
13/06/2014,574.48,0.001237
16/06/2014,572.37,-0.00368
17/06/2014,572.25,-0.00021
18/06/2014,570.03,-0.003887
19/06/2014,567.35,-0.004713
20/06/2014,560.78,-0.011648
23/06/2014,565.92,0.009124
24/06/2014,569.74,0.006727
25/06/2014,572.27,0.004431
26/06/2014,576.4,0.007191
27/06/2014,578.82,0.00419
30/06/2014,578.13,-0.001193
1/07/2014,578.07,-0.000104
2/07/2014,578.8,0.001262
3/07/2014,585.02,0.010689
4/07/2014,589.35,0.007374
7/07/2014,590.69,0.002271
8/07/2014,591.47,0.00132
9/07/2014,591.6,0.00022
10/07/2014,584.88,-0.011424
11/07/2014,582.77,-0.003614
14/07/2014,586.23,0.00592
15/07/2014,589.31,0.00524
16/07/2014,589.68,0.000628
17/07/2014,590.37,0.001169
18/07/2014,596.26,0.009927
21/07/2014,601.04,0.007985
22/07/2014,597.98,-0.005104
23/07/2014,597.5,-0.000803
24/07/2014,602.06,0.007603
25/07/2014,600.14,-0.003194
28/07/2014,589.45,-0.017973
29/07/2014,592.24,0.004722
30/07/2014,589.33,-0.004926
31/07/2014,596.07,0.011372
1/08/2014,593.9,-0.003647
4/08/2014,599.04,0.008617
5/08/2014,607.73,0.014402
6/08/2014,606.7,-0.001696
7/08/2014,607.62,0.001515
8/08/2014,605.43,-0.003611
11/08/2014,602.13,-0.005466
12/08/2014,601.78,-0.000581
13/08/2014,602.76,0.001627
14/08/2014,605.25,0.004122
15/08/2014,604.24,-0.00167
18/08/2014,605.08,0.001389
19/08/2014,604.64,-0.000727
20/08/2014,606.7,0.003401
21/08/2014,612.94,0.010233
22/08/2014,620.14,0.011678
25/08/2014,625.88,0.009213
26/08/2014,629.06,0.005068
27/08/2014,628.77,-0.000461
28/08/2014,632.03,0.005171
29/08/2014,636.65,0.007283
3/09/2014,640.75,0.006419
4/09/2014,640.22,-0.000827
5/09/2014,638.65,-0.002455
8/09/2014,639.85,0.001877
9/09/2014,626.92,-0.020415
10/09/2014,628.8,0.002994
11/09/2014,628.99,0.000302
12/09/2014,632.5,0.005565
15/09/2014,630.34,-0.003421
16/09/2014,627.66,-0.004261
17/09/2014,625.66,-0.003192
18/09/2014,615.8,-0.015885
19/09/2014,613.29,-0.004084
22/09/2014,611.93,-0.00222
23/09/2014,610.39,-0.00252
24/09/2014,603.59,-0.011203
25/09/2014,605.1,0.002499
26/09/2014,604.98,-0.000198
29/09/2014,599.78,-0.008632
30/09/2014,598.8,-0.001635
1/10/2014,609.27,0.017334
2/10/2014,612.66,0.005549
3/10/2014,611.55,-0.001813
6/10/2014,614.42,0.004682
7/10/2014,614.08,-0.000554
8/10/2014,617.26,0.005165
9/10/2014,624.34,0.011405
10/10/2014,617.72,-0.01066
13/10/2014,614.22,-0.005682
14/10/2014,605.79,-0.01382
15/10/2014,604.29,-0.002479
16/10/2014,587.17,-0.02874
17/10/2014,585.28,-0.003224
20/10/2014,589.24,0.006743
21/10/2014,600.55,0.019012
22/10/2014,601.59,0.00173
23/10/2014,593.53,-0.013488
24/10/2014,591.51,-0.003409
27/10/2014,580.8,-0.018272
28/10/2014,583.13,0.004004
29/10/2014,591.2,0.013744
30/10/2014,589.14,-0.003491
31/10/2014,600.84,0.019665
